,row_ids,cat_describe,cat_age,cat_sex,cat_neutered,cat_feed,cat_feed_freq,cat_time_out,cat_stay,cat_hunt,cat_hunt,cat_hunt_freq,cat_time
0,aditi_6,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Female,Not neutered,"Cat food like Whiskas, drools, pure pet etc. ",Continuous supply of food is available,5-7 hours,At home,Yes,"Rodents (rats, mice)",Once every few months,>4 hours
1,aditi_15,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,"Cat food like Whiskas, drools, pure pet etc. ",Thrice a day,3-5 hours,At home,Yes,"Insects (butterflies, dragonflies, crickets, grasshoppers)",Once in 15 days,>4 hours
2,aditi_38,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Male,Not neutered,"Cat food like Whiskas, drools, pure pet etc. ",Twice a day,>10 hours,Outside,Yes,"Rodents (rats, mice)",Once a month,10-20 minutes
3,aditi_42,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,"Cat food like Whiskas, drools, pure pet etc. ",Twice a day,>10 hours,Either at home or outside,No,,,10-20 minutes
4,aditi_47,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Male,Not neutered,"Cat food like Whiskas, drools, pure pet etc. ",Twice a day,5-7 hours,Either at home or outside,No,,,20-40 minutes
5,aditi_59,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Twice a day,>10 hours,Either at home or outside,No,,,20-40 minutes
6,aditi_67,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Twice a day,>10 hours,Either at home or outside,Yes,"Rodents (rats, mice)",Once every few months,2-4 hours
7,aditi_68,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Male,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Twice a day,1-3 hours,At home,Yes,Birds,Once every few months,>4 hours
8,aditi_72,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Thrice a day,1-3 hours,At home,Yes,"Rodents (rats, mice)",Once a month,>4 hours
9,aditi_73,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),Female,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Twice a day,Completely indoors,At home,Yes,,,>4 hours
10,aditi_75,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Continuous supply of food is available,>10 hours,Outside,Yes,"Rodents (rats, mice)",Once a week,40 minutes-1 hour
11,aditi_76,Completely indoor cat (always stays at home and does not go out on its own),Kitten (0-6 months),Female,,"Cat food like Whiskas, drools, pure pet etc. ",Thrice a day,Completely indoors,At home,No,,,20-40 minutes
12,aditi_83,Completely indoor cat (always stays at home and does not go out on its own),Junior (7 months - 2 years),Male,Neutered,"Cat food like Whiskas, drools, pure pet etc. ",Thrice a day,3-5 hours,At home,No,,,2-4 hours
13,aditi_92,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Female,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Continuous supply of food is available,>10 hours,Either at home or outside,Have not observed,,,1-2 hours
14,aditi_95,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Adult (3-6 years),Female,Not neutered,"Meat (chicken, fish, etc.)",Thrice a day,1-3 hours,At home,Have not observed,,,1-2 hours
